You may also be interested in the following product(s), Up-Sell Products
Cart, Shopping Cart
Product Description, Description
'Based on your selection, you may be interested in the following items:', Crossell Products
Remove item, Remove
"Sign Up for Our Newsletter:", "Subscribe to be the first to know about Sales, Events, and Exclusive Offers!"
"Sign up for our newsletter", "Enter your Email"
Move, Add to Wish List
"Enter your coupon code if you have one.", "Enter your coupon code"
"select all", "Select All"
"Select Your Currency", "Currency"
"Your Language:", "Language"
"My Wishlist (%d item)","My Wishlist"
"My Wishlist (%d items)","My Wishlist"